00040.27;CIL MT EMB 7/8POL 22.22MM;35
00040.29;CIL AUX EMB 13/16POL 20.63MM;135,42
00040.29;CIL AUX EMB 13/16POL 20.63MM;135,42
00040.30;CIL AUX EMB 13/16POL 20.63MM;139,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB 7/8POL 22.22MM;66,76
00040.31;CIL AUX EMB S HASTE 7/8 22.22MM;66,76
00040.32;CIL AUX EMB 7/8POL 22.22MM;71,66
00040.33;CIL AUX EMB 7/8POL 22.22MM;58,795
00040.33;CIL AUX EMB 7/8POL 22.22MM;58,795
00040.34;CIL AUX EMB 11/8POL 28.57MM;112,635
00040.34;CIL AUX EMB 11/8POL 28.57MM;112,635
00040.35;CIL AUX EMB 11/2POL 38.10MM;101,64
00040.36;CIL RD TS E 17.40;25,18
00040.37;CIL AUX EMB 7/8 POL;75,515
00040.6;CIL MT DUPL 20MM NN 02520.24;73,14
00040.60;CIL MT DUPL 20MM;86,525
00040.61;CIL MT EMB 13/16 POL;40
00040.62;CIL MT EMB 19.05MM;61,96
00040.63;CIL MT EMB;44,95
00040.7;CIL MT DUPL 20MM S ESF;75,76
00040.7;CIL MT DUPL 20MM S ESF;75,76
00040.70;CIL MT DUPL 20.64MM;218,51
00040.71;CIL MT DUPL;168,54
00040.72;CIL MT DUPL;177,37
00041.1;CIL MT SIMP;84,105
00041.11;CIL MT SIMP;42,08
00041.12;"CIL MT DUPL ATE S RESERV 3/4""";100,95
00041.12;CIL MT DUPL ATE S RESERV 3/4POL;100,95
00041.13;CIL MT DUPL;75,12
00041.14;"CIL MT DUPL ATE 13/16"" NN 05305.11";75,445
00041.14;CIL MT DUPL ATE 13/16POL;75,445
00041.15;CIL MT DUPL 22MM NN 05305.13;75,655
00041.15;CIL MT DUPL 22MM NN 05305.13;75,655
00041.17;CIL MT DUPL 20MM NN 05305.12;75,225
00041.17;CIL MT DUPL 20MM NN 05305.12;75,225
00041.18;CIL MT DUPL 22MM;146,5
00041.18;CIL MT DUPL 22MM;146,5
00041.19;CIL MT DUPL 22.20MM;194,73
00041.2;CIL MT DUPL S RESERV 3/4POL;60,03
00041.20;CIL MT DUPL 22.20MM;101,84
00041.21;CIL MT DUPL SIST BOSCH 7/8POL;87,61
00041.21;CIL MT DUPL SIST BOSCH 7/8POL;87,61
00041.22;CIL MT DUPL 7/8POL 22.22M;60,505
00041.23;CIL MT DUPL 7/8POL 22.22MM;75,59
00041.24;CIL MT DUPL 7/8POL 22.22MM;89,135
00041.24;CIL MT DUPL 7/8POL 22.22MM;89,135
00041.25;CIL MT DUPL 15/16POL 23.81MM;141,32
00041.26;CIL MT DUPL 1POL 25.40MM;228,605
00041.27;CIL MT DUPL 13/16POL 20.63MM;106,425
00041.28;CIL MT DUPL 15/16POL 23.81MM;154,775
00041.29;CIL MT DUPL 13/16POL 20.63MM;79,065
00041.30;CIL MT DUPL 1POL 25.40MM S RESERV;229,85
00041.31;CIL MT DUPL 13/16POL 20.63MM;107,915
00041.32;CIL MT DUPL 15/16POL 23.81MM;205,445
